               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  58,              1.1899,              1.3989,              1.3982,             0.76618,             0.87127,              0.8719,             0.74286,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.1651,               1.351,              1.3765,             0.50597,             0.84807,             0.63398,             0.48585,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.1859,              1.3997,              1.3925,             0.64319,             0.82329,             0.74757,             0.61666,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.1807,              1.3695,              1.3974,             0.56468,             0.84322,             0.66991,              0.5532,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.1594,              1.3317,              1.3705,             0.85558,              0.8693,             0.91096,             0.77305,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,                1.15,              1.3527,               1.394,              0.8432,             0.90433,             0.90967,             0.78191,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.1517,              1.3386,              1.3848,             0.81738,             0.85658,             0.89083,             0.76429,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,               1.151,               1.314,              1.3873,             0.83331,             0.86115,             0.89919,               0.763,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.1375,              1.3049,              1.3644,             0.79529,             0.85112,             0.87876,             0.76338,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.1455,              1.3108,              1.3866,             0.82819,             0.86602,             0.88726,             0.75032,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.1111,              1.2425,              1.3396,             0.83061,             0.87859,             0.90235,              0.7879,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.1393,              1.2661,              1.3783,             0.85219,             0.90732,             0.92863,             0.80388,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.1206,              1.2769,              1.3743,             0.81967,             0.86267,             0.88096,              0.7592,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.1315,              1.3049,              1.3739,             0.52371,             0.85141,              0.6406,             0.48451,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,               1.106,              1.2513,              1.3591,             0.89397,             0.91059,              0.9415,             0.82747,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.0888,               1.257,              1.3488,             0.88821,             0.90724,             0.94563,             0.82237,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.0913,              1.2221,              1.3286,             0.81339,             0.86639,             0.88711,             0.74074,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.1397,              1.2937,              1.3639,             0.88947,             0.91334,             0.93977,              0.8259,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.0871,              1.2503,              1.3567,             0.82197,             0.86679,             0.89901,             0.78942,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.1167,                1.27,              1.3489,             0.81244,             0.88249,             0.89889,             0.78421,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.1032,              1.2512,              1.3616,             0.86633,             0.91323,             0.93402,              0.8241,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.0865,              1.2418,              1.3433,             0.84891,             0.88947,             0.93319,             0.82028,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.0978,              1.2493,              1.3378,             0.89863,             0.88905,             0.94019,             0.82641,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.0882,              1.2603,              1.3512,             0.90496,             0.92635,             0.95855,             0.83818,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.0988,              1.2076,              1.3441,             0.87924,             0.89352,             0.93299,             0.81599,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.0838,              1.2224,              1.3265,             0.88522,             0.90859,             0.93932,             0.82838,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.1022,              1.2127,              1.3558,             0.84124,             0.91934,             0.92889,             0.82549,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.0927,               1.232,              1.3415,             0.80875,             0.88515,             0.89956,              0.7484,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.0662,              1.1574,               1.339,             0.79733,             0.86532,             0.87867,             0.76011,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.0725,              1.2122,              1.3445,             0.89844,             0.92426,             0.95742,             0.84547,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.0534,              1.1881,              1.3286,             0.84171,             0.89816,             0.92831,             0.82552,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.0485,               1.176,              1.3342,             0.88684,             0.92612,             0.95121,              0.8483,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.0431,              1.1503,              1.3212,             0.91748,             0.92806,             0.96401,              0.8588,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.0597,              1.1638,              1.3415,             0.89525,             0.93401,             0.96017,             0.84772,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.0203,              1.1535,              1.3154,             0.91671,              0.9376,             0.96158,             0.85955,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.0445,              1.1573,              1.3213,             0.91871,             0.92592,             0.96451,             0.86049,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.0529,              1.1548,              1.3269,             0.86692,              0.8911,             0.93465,             0.83905,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.0111,              1.1262,              1.3163,             0.91671,             0.91847,             0.96031,             0.84903,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.0342,              1.1322,               1.315,             0.91915,             0.93636,             0.96415,             0.86199,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.0129,              1.1164,              1.3048,              0.9249,             0.93492,             0.96556,             0.86655,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.0251,               1.102,              1.3082,             0.92397,             0.93624,              0.9685,             0.86827,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.0144,                1.13,               1.343,             0.91398,             0.93335,             0.96096,             0.86393,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
